Niterói, RJ, BRAZIL: 0.22
Passo Fundo, RS, BRAZIL: 0.22
Uberaba, MG, BRAZIL: 0.21
Arapiraca, AL, BRAZIL: 0.21
Araçatuba, SP, BRAZIL: 0.21
Formosa, GO, BRAZIL: 0.21
Santa Bárbara d'Oeste, SP, BRAZIL: 0.21
Campina Grande, PB, BRAZIL: 0.21
Poá, SP, BRAZIL: 0.20
Rio de Janeiro, RJ, BRAZIL: 0.20
Limeira, SP, BRAZIL: 0.20
Governador Valadares, MG, BRAZIL: 0.20
Catanduva, SP, BRAZIL: 0.20
Cabo de Santo Agostinho, PE, BRAZIL: 0.20
Belo Horizonte, MG, BRAZIL: 0.20
Itanhaém, SP, BRAZIL: 0.20
Criciúma, SC, BRAZIL: 0.20
Novo Hamburgo, RS, BRAZIL: 0.19
Colatina, ES, BRAZIL: 0.19
Guarujá, SP, BRAZIL: 0.19
Nilópolis, RJ, BRAZIL: 0.19
Bauru, SP, BRAZIL: 0.18
Sinop, MT, BRAZIL: 0.18
Franca, SP, BRAZIL: 0.18
Itatiba, SP, BRAZIL: 0.18
Codó, MA, BRAZIL: 0.18
Lagarto, SE, BRAZIL: 0.17
Pindamonhangaba, SP, BRAZIL: 0.17
Erechim, RS, BRAZIL: 0.17
Três Lagoas, MS, BRAZIL: 0.17
Teófilo Otoni, MG, BRAZIL: 0.16
Praia Grande, SP, BRAZIL: 0.16
Itaguaí, RJ, BRAZIL: 0.16
Gravataí, RS, BRAZIL: 0.16
Maceió, AL, BRAZIL: 0.15
Jequié, BA, BRAZIL: 0.15
Ferraz de Vasconcelos, SP, BRAZIL: 0.15
Parnamirim, RN, BRAZIL: 0.15
Volta Redonda, RJ, BRAZIL: 0.15
Osasco, SP, BRAZIL: 0.15
Poços de Caldas, MG, BRAZIL: 0.15
Sete Lagoas, MG, BRAZIL: 0.14
Americana, SP, BRAZIL: 0.14
Luziânia, GO, BRAZIL: 0.14
Uberlândia, MG, BRAZIL: 0.13
São José de Ribamar, MA, BRAZIL: 0.13
Patos de Minas, MG, BRAZIL: 0.13
Maracanaú, CE, BRAZIL: 0.13
Caraguatatuba, SP, BRAZIL: 0.13
Itu, SP, BRAZIL: 0.13
Camaragibe, PE, BRAZIL: 0.13
Itaquaquecetuba, SP, BRAZIL: 0.12
Caxias do Sul, RS, BRAZIL: 0.12
Varginha, MG, BRAZIL: 0.12
Joinville, SC, BRAZIL: 0.12
Sorocaba, SP, BRAZIL: 0.12
Valinhos, SP, BRAZIL: 0.11
Santo André, SP, BRAZIL: 0.11
São Luís, MA, BRAZIL: 0.11
Rio Grande, RS, BRAZIL: 0.11
Jataí, GO, BRAZIL: 0.10
Pelotas, RS, BRAZIL: 0.10
Manacapuru, AM, BRAZIL: 0.10
Barueri, SP, BRAZIL: 0.09
Nova Iguaçu, RJ, BRAZIL: 0.09
Florianópolis, SC, BRAZIL: 0.09
Cambé, PR, BRAZIL: 0.09
Senador Canedo, GO, BRAZIL: 0.09
Petrolina, PE, BRAZIL: 0.08
Jandira, SP, BRAZIL: 0.08
São Caetano do Sul, SP, BRAZIL: 0.07
Marília, SP, BRAZIL: 0.07
Cascavel, PR, BRAZIL: 0.07
Itaperuna, RJ, BRAZIL: 0.06
Tangará da Serra, MT, BRAZIL: 0.06
Santos, SP, BRAZIL: 0.05
Várzea Paulista, SP, BRAZIL: 0.05
Belford Roxo, RJ, BRAZIL: 0.05
Mogi Guaçu, SP, BRAZIL: 0.04
Recife, PE, BRAZIL: 0.04
Nova Lima, MG, BRAZIL: 0.04
Cachoeiro de Itapemirim, ES, BRAZIL: 0.04
Bragança, PA, BRAZIL: 0.03
Campos dos Goytacazes, RJ, BRAZIL: 0.01
Sobral, CE, BRAZIL: 0.00
